user_id;country;sex;height;weight;age;years_cl;grades_count;grades_first;grades_last;grades_max;grades_mean;year_first;year_last
24290;FRA;1;170;48;35;10;2;40;40;40;40;2008;2008
24297;ITA;0;190;78;32;13;269;57;62;62;49.68401487;2010;2017
24302;MEX;0;176;73;35;13;10;44;38;46;41.9;2008;2009
24303;other;0;188;63;33;9;10;37;36;42;37.5;2008;2010
24307;USA;0;165;63;28;11;3;30;43;49;40.66666667;2009;2009
24310;MEX;0;169;63;32;19;44;46;51;57;45.52272727;2007;2016
24318;USA;0;185;73;37;26;225;52;53;68;54.68888889;2008;2013
24326;ESP;0;176;63;33;13;75;55;57;62;53.18666667;2009;2010
24339;other;0;172;68;30;11;15;49;49;49;44.53333333;2008;2009
24341;ZAF;0;184;78;35;21;30;57;44;64;54.9;2008;2011
24343;ESP;0;183;73;43;27;309;57;52;62;51.35275081;2008;2016
24345;ITA;0;173;63;36;12;2;40;38;40;39;2008;2008
24347;USA;0;172;63;27;16;21;62;68;72;65.14285714;2009;2015
24351;MEX;0;183;78;35;19;34;59;40;62;52.02941176;2008;2012
24358;ITA;0;176;58;51;10;8;49;53;53;46.25;2008;2009
24359;PRT;0;172;73;47;15;94;49;51;57;44.70212766;2008;2016
24364;USA;0;182;78;32;11;13;44;33;46;37.53846154;2008;2009
24366;NOR;0;183;73;35;15;5;42;40;44;38.2;2009;2009
24368;USA;0;183;73;36;12;19;36;29;44;36.42105263;2008;2008
24370;USA;1;155;58;34;15;17;51;46;53;49.35294118;2009;2009
24377;USA;0;168;63;37;14;124;66;59;68;58.12903226;2010;2017
24378;USA;0;182;73;28;9;9;38;40;46;37.33333333;2008;2009
24381;USA;0;178;73;36;12;2;51;55;55;53;2008;2008
24389;POL;0;175;63;32;12;468;49;59;62;46.73076923;2008;2017
24395;BRA;0;182;73;44;9;22;37;37;53;43.04545455;2008;2012
24401;AUT;0;187;78;41;28;2;57;68;68;62.5;2009;2009
24404;BRA;0;175;68;40;13;65;49;40;55;43.92307692;2008;2015
24406;NOR;0;184;83;46;25;8;57;51;57;52;1999;1996
24409;other;0;171;68;31;10;176;53;52;64;55.02272727;2008;2017
24410;NOR;0;191;78;35;14;62;49;42;59;49.4516129;2009;2017
24412;USA;0;137;40;19;17;1;42;42;42;42;2008;2008
24415;ESP;0;173;53;23;9;8;39;55;55;43.875;2009;2011
24417;other;0;180;63;22;12;243;33;51;70;51.02469136;2007;2016
24425;CAN;0;185;78;39;19;6;49;50;51;46.66666667;2008;2008
24429;BRA;1;165;63;32;21;6;39;51;51;43.83333333;2006;2009
24431;ESP;0;180;63;22;8;67;35;51;59;46.52238806;2009;2014
24438;AUT;0;182;78;33;14;25;62;49;62;52.16;2008;2010
24440;AUT;0;189;93;31;11;19;49;42;53;44.21052632;2009;2014
24443;other;0;196;93;47;10;19;33;49;49;34.94736842;2008;2009
24447;MEX;1;163;48;36;15;47;57;54;62;50.36170213;2008;2011
24449;ESP;0;158;58;42;27;138;59;57;68;60.92028986;1999;2015
24461;ITA;0;176;63;29;11;342;38;49;61;45.06140351;2008;2017
24465;ITA;0;181;68;44;13;5;49;49;49;46.8;2008;2012
24466;ITA;0;174;73;33;11;41;62;42;62;51.2195122;2008;2011
24478;DEU;0;190;78;34;10;3;38;29;38;35;2008;2008
24485;other;0;178;73;31;16;195;53;44;62;49.33846154;2008;2017
24486;BEL;0;190;83;32;10;313;53;40;59;44.27795527;2011;2017
24489;USA;0;180;83;27;9;4;31;29;33;31;2009;2009
24491;POL;0;187;88;41;9;2;30;32;32;31;2008;2008
24498;other;1;157;48;20;14;13;31;40;42;36.46153846;2009;2010
24503;ESP;0;170;68;38;13;550;36;36;53;40.27454545;2008;2017
24512;ESP;0;181;68;35;17;242;61;59;71;59.02892562;2008;2017
24528;FRA;0;172;58;22;11;5;36;42;42;38.8;2009;2009
24536;SWE;0;180;68;37;18;79;64;64;65;56.18987342;2011;2014
24540;BRA;0;176;78;42;22;145;46;36;57;44.32413793;2008;2017
24554;ESP;0;174;68;36;23;417;49;48;59;40.2470024;2008;2015
24556;AUT;0;175;73;33;13;51;55;55;57;51.15686275;2009;2016
24562;ESP;0;176;68;29;9;33;41;57;57;50.90909091;2009;2017
24565;DNK;0;190;78;43;10;2;44;42;44;43;2009;2009
24570;MEX;0;175;58;29;9;3;38;29;42;36.33333333;2008;2008
24572;USA;0;177;63;31;14;2;49;57;57;53;2009;2017
24581;AUS;0;178;63;29;9;171;42;57;70;55.00584795;2009;2016
24583;POL;0;175;73;32;19;111;68;57;70;60.72072072;2008;2017
24585;ESP;0;190;73;31;9;38;33;36;44;34.89473684;2009;2009
24591;SWE;0;173;68;30;9;153;36;49;54;43.53594771;2009;2014
24602;USA;1;175;58;38;13;10;36;31;36;33.4;2007;2007
24603;DEU;0;185;88;34;13;1;42;42;42;42;2008;2008
24608;ESP;0;184;73;32;9;39;37;44;46;40.58974359;2009;2010
24611;USA;0;175;63;39;17;31;53;51;59;53.12903226;2012;2017
24612;other;0;180;73;31;13;84;64;49;64;52.30952381;2008;2017
24614;DEU;0;179;63;30;12;18;53;55;66;56.33333333;2008;2011
24616;ITA;0;183;73;38;9;2;44;43;44;43.5;2009;2009
24619;USA;0;185;78;25;11;9;40;31;46;37;2008;2009
24627;BRA;0;178;73;36;13;6;51;38;51;44.16666667;2012;2012
24628;other;1;175;58;20;13;222;57;59;66;50.43693694;2008;2017
24640;USA;0;185;68;29;10;156;33;50;62;50.96794872;2008;2015
24641;MEX;0;187;63;33;18;4;50;51;59;51.5;2009;2014
24646;SWE;0;185;78;39;13;128;44;40;55;40.359375;2008;2015
24649;CAN;1;170;63;33;13;3;29;33;33;30.33333333;2008;2008
24655;ITA;0;190;73;27;12;3;55;55;59;56.33333333;2011;2011
24658;other;0;179;73;32;13;122;57;57;64;53.19672131;2008;2015
24660;USA;0;178;83;49;14;11;55;49;57;52.81818182;2009;2012
24663;BEL;0;176;63;25;9;467;29;49;64;44.875803;2009;2017
24671;GBR;0;182;73;37;21;21;51;51;57;50.61904762;2006;2012
24672;ZAF;0;178;78;34;9;6;29;29;31;29.33333333;2009;2009
24679;FRA;0;170;58;24;12;12;52;56;56;50.75;2009;2010
24684;BRA;0;172;68;37;20;13;57;62;62;52.76923077;2010;2015
24693;FRA;0;178;73;28;11;5;51;51;55;51.8;2008;2008
24694;SWE;0;182;73;20;8;35;51;57;62;53.91428571;2009;2014
24696;SWE;0;185;73;29;11;364;49;49;62;49.75274725;2009;2017
24703;SWE;0;182;88;41;9;29;44;33;44;35.51724138;2009;2010
24709;MEX;0;170;68;23;10;36;32;59;59;48.02777778;2009;2014
24715;FRA;0;176;73;29;13;138;36;57;57;44.72463768;2009;2011
24728;USA;0;177;73;36;19;4;49;33;49;41.5;2009;2007
24729;ESP;0;178;68;31;9;8;38;40;49;41.375;2013;2013
24736;AUT;1;170;58;22;18;3;55;59;64;59.33333333;2009;2017
24737;USA;0;173;73;35;16;12;51;62;62;52.91666667;2002;2009
24742;ITA;0;172;63;26;12;1;61;61;61;61;2009;2009
24746;USA;0;175;73;27;13;2;46;42;46;44;2015;2015
24751;ESP;0;166;58;31;11;83;57;55;66;46.54216867;2008;2012
24755;FRA;0;178;63;31;22;31;64;67;72;63.80645161;2008;2010
24758;DEU;0;180;73;48;11;57;42;33;46;37.9122807;2008;2011
24763;USA;0;188;83;38;21;3;46;46;53;48.33333333;2014;2014
24769;FRA;0;182;73;31;13;317;55;49;62;51.02839117;2008;2017
24776;MEX;0;168;53;25;14;19;64;58;68;58.57894737;2008;2010
24777;POL;0;178;63;30;10;96;44;51;59;46.17708333;2009;2013
24778;other;0;176;68;26;9;432;36;57;67;52.18055556;2009;2017
24800;other;0;170;68;37;10;15;36;46;49;41;2008;2010
24802;DEU;0;172;63;30;10;106;36;49;57;42.51886792;2009;2017
24803;ESP;0;150;40;20;15;4;49;38;53;48.25;2007;2007
24807;AUS;0;178;83;42;14;9;53;52;53;52.77777778;2008;2009
